"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL1A1",-1.44840091872055,7.63985889294522,-11.5193386638564,2.17608304370166e-27,2.15829999947356e-25,51.4039130115317
"VSIG2",1.63892382989583,3.23988779022758,11.5165953625205,2.23149653689025e-27,2.20142503275675e-25,51.3791027019055
"SCTR",1.3955801663155,2.10025714403192,11.4300607053726,4.92404836279264e-27,4.75596042915176e-25,50.5982425740206
"LRRK2",1.32274851113425,2.35109666220193,11.3077543670032,1.49833174850157e-26,1.4031078221501e-24,49.5004523681009
"GGTLC1",1.70707547064572,2.53827477050651,11.2995647158466,1.6138456173412e-26,1.4960916557141e-24,49.4271918486254
"THBS2",-1.25860415502124,4.55099686400308,-11.2982845988831,1.63268484732515e-26,1.50598850317272e-24,49.4157433892519
"PARM1",1.24585639634665,4.78924775858621,11.2692393474083,2.124111681598e-26,1.93988179713465e-24,49.1561889358229
"CTSH",1.225912838454,5.96741014630914,11.2376516617286,2.8265828445037e-26,2.55611766251982e-24,48.8743632855115
"PGC",3.20144013846394,4.50207626433818,11.106184472218,9.23663367674511e-26,7.99987878256308e-24,47.7064750695845
"SLC22A3",1.26137376632926,2.88652560819894,11.1015086037715,9.63249260598554e-26,8.30374876613183e-24,47.6650885006761
"PLAU",-1.39347433779009,5.19969329671405,-11.0815421755111,1.15215330835868e-25,9.79489595972397e-24,47.4884815864712
"SERPINE1",-1.25345798867315,4.53048916491963,-11.0776588552597,1.19296218680213e-25,1.00953056982228e-23,47.4541550889402
"ABCA3",1.44948656916585,4.34648696605102,11.0480916332023,1.55460107013633e-25,1.28606639201233e-23,47.1930343251486
"RHOBTB2",1.02345598901976,3.84374674678436,11.032883995957,1.78112114117222e-25,1.46688048269398e-23,47.0588932841686
"STEAP1",-1.22272874321049,3.43173980868168,-10.9896269636665,2.62097460477528e-25,2.13003257748434e-23,46.6779505529331
