"","p.value","HR","Low 95%CI","High 95%CI"
"CXCL8",0.206002053899161,1.0607561022352,0.968090432372577,1.16229173515494
"GKN2",0.256915872433037,0.953611673378735,0.878433770358721,1.03522343321664
"MMP9",0.286608640699043,1.05087974807023,0.959202027273539,1.15131975694753
"SLC34A2",0.000310002928305892,0.882068798907406,0.823925636453146,0.944315034734568
"SFTPA1",0.0927087073215225,0.9640611335001,0.923792348717538,1.00608526409183
"SFTPA2",0.077511831940503,0.961535619442832,0.920560639083425,1.00433443295801
"MMP11",0.237643881860654,1.05039830460654,0.968082148012545,1.1397138151813
"ANGPTL4",0.000124078192285182,1.18792220609929,1.08791515186094,1.29712245052378
"SPINK5",0.84689962408234,0.990450781972237,0.898527847275979,1.09177779462645
"KIAA1324",0.000856056002500423,0.858728153270779,0.785183899152663,0.939160930344634
"WIF1",0.0122347263056335,0.907098767495224,0.840478518985524,0.97899964770608
"S100A8",0.377935540844977,1.03570118824143,0.95800867105657,1.11969440750644
"C15orf48",0.0550764760239694,1.08547994400972,0.998218924516552,1.18036903519735
"LAMP3",0.0345522823241286,0.895282613257933,0.808000412466886,0.991993253016814
"TNNT1",0.00209480898076227,1.13022476449335,1.04542829992872,1.22189921428486
"CDA",0.0112474673235399,1.10529095803101,1.0229656437673,1.19424157531433
"ST6GALNAC1",0.145100195685756,0.934060265730981,0.852166897544368,1.02382359902921
"AGER",0.0046015474772734,0.893104499876204,0.825929498901504,0.965743018938044
"PPP1R1B",0.18598945205523,0.947185909046693,0.874002896129433,1.0264967659372
"AGR3",0.327614263173126,0.966491989830008,0.902740616219805,1.03474547353049
"FAM83A",1.42770366374552e-07,1.28873684973648,1.1725410551517,1.41644734789592
"LAMC2",6.75416845128534e-05,1.21762221079169,1.10522874872286,1.3414452437348
"TMPRSS11E",0.000832718697355775,1.14942893489378,1.05927361865421,1.24725741593526
"GJB3",6.46221197674708e-08,1.29067266464629,1.17661870866926,1.41578228783154
"CLU",0.335966276203582,0.957546805429579,0.876561371249345,1.0460144773224
"GPR87",0.00464850905612626,1.12564079860955,1.03706853030447,1.22177770366086
"AQP5",0.0299481490510519,0.936303965779904,0.882286294019745,0.99362885072264
"SFTPC",0.0058287703501661,0.943940507627102,0.906012794804735,0.98345595895403
"MS4A15",0.00941161435295169,0.883880089688895,0.805252393203647,0.970185273017716
"WFDC2",0.00243645744842932,0.878997382565533,0.808666065982621,0.9554455554138
"C7",0.00738599895754273,0.886919239964791,0.812371695242749,0.96830766363009
"SCGB3A1",0.00321732044695327,0.930728478733149,0.88732408684778,0.976256042143854
"ALPL",0.0818290611614804,0.932413937561823,0.861745309180657,1.00887784557384
"ALOX15B",0.0648626760328671,0.922691107572716,0.847148387545957,1.00497019472587
"KRT6A",2.82860415854881e-07,1.15395649802915,1.09257263164633,1.2187890862113
"TNS4",1.27041810860004e-06,1.22474425405576,1.12829628025764,1.32943670389491
"MMP1",0.0545709867074595,1.06996195439347,0.998675080432442,1.1463373886868
"CLIC6",9.62025874215682e-05,0.857768502086426,0.794117373182864,0.926521479088914
"SNCG",0.233068924460944,1.05039519894756,0.968852418872516,1.13880096955949
"S100A9",0.107711524893358,1.05617555941857,0.988131458582817,1.12890527128141
"CLDN2",0.00743821775347693,0.898805608111964,0.831259504425745,0.971840342122286
"UCHL1",0.223613443245214,1.04208476361432,0.975146416893704,1.11361805339585
"SPP1",0.203390579696435,1.04708515871062,0.975419649102117,1.1240160382265
"MAGEA3",0.412330176683188,1.03170497971581,0.957518556679822,1.11163920296358
"SAA1",0.761060663467785,1.01088040741033,0.942774702611204,1.08390604378308
"CYP24A1",0.0164515136612272,1.08711358458401,1.01539590476243,1.16389670299449
"CTSE",0.571357624861431,0.983269164442718,0.927471580537169,1.04242358475709
"DMBT1",0.026594911333547,0.926302414122277,0.865696570407571,0.99115116282001
"CEACAM6",0.45962381836967,0.97401202020602,0.90835144274929,1.04441890094257
"KRT17",0.00538600757419667,1.10096311021564,1.02885381249326,1.17812633372891
"SCGB1A1",0.0343907976882845,0.95434865082511,0.913914878724726,0.99657130935718
"MSLN",0.536890207604579,1.01581953489076,0.966454412496511,1.06770615781053
"FGB",0.185996916716053,1.03106847682878,0.985361170370542,1.07889597832462
"SPINK1",0.64895194636494,0.988717074275347,0.941574003669756,1.03822052133299
